epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,2.097625,0.1279,2.095026,0.1133,0.608370
1,2.082861,0.1350,2.098224,0.1118,0.507806
2,2.078536,0.1370,2.097143,0.1201,0.490227
3,2.073424,0.1445,2.097286,0.1191,0.495087
4,2.072257,0.1490,2.089802,0.1338,0.516617
5,2.066982,0.1581,2.093018,0.1348,0.495988
6,2.060805,0.1630,2.097360,0.1299,0.522601
7,2.053882,0.1716,2.100453,0.1245,0.562305
8,2.046906,0.1879,2.100147,0.1279,0.601631
9,2.041139,0.1910,2.105659,0.1348,0.655738
10,2.034769,0.1920,2.104014,0.1304,0.707520
11,2.022482,0.2044,2.119675,0.1279,0.810610
12,2.013547,0.2077,2.117152,0.1240,0.871349
13,1.999513,0.2229,2.127165,0.1299,0.997169
14,1.987222,0.2299,2.146563,0.1289,1.096472
15,1.972586,0.2371,2.150830,0.1421,1.223879
16,1.952368,0.2495,2.169750,0.1250,1.379181
17,1.938867,0.2591,2.174564,0.1260,1.542234
18,1.922622,0.2719,2.188494,0.1338,1.649483
19,1.904390,0.2790,2.201548,0.1240,1.867341
20,1.880893,0.2878,2.226504,0.1260,2.017545
21,1.858419,0.3009,2.253886,0.1318,2.158446
22,1.838908,0.3156,2.267008,0.1309,2.357610
23,1.816134,0.3200,2.282198,0.1357,2.577372
24,1.796653,0.3339,2.326250,0.1309,2.761344
25,1.777352,0.3389,2.342342,0.1265,2.934204
26,1.759737,0.3525,2.340431,0.1362,3.164181
27,1.736259,0.3579,2.354716,0.1353,3.299665
28,1.713373,0.3630,2.407807,0.1284,3.596974
29,1.695597,0.3777,2.441568,0.1284,3.862114
