epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,1.381379,0.4265,0.527552,0.9146,0.585561
1,0.273430,0.9519,0.129444,0.9917,0.828857
2,0.066266,0.9981,0.034411,1.0000,0.398337
3,0.024820,0.9998,0.016964,1.0000,0.177683
4,0.013569,1.0000,0.010416,1.0000,0.081362
5,0.008700,1.0000,0.007162,1.0000,0.044031
6,0.006130,1.0000,0.005282,1.0000,0.025200
7,0.004555,1.0000,0.003999,1.0000,0.012109
8,0.003597,1.0000,0.003150,1.0000,0.017028
9,0.002816,1.0000,0.002550,1.0000,0.007033
10,0.002295,1.0000,0.002094,1.0000,0.005433
11,0.001901,1.0000,0.001743,1.0000,0.004384
12,0.001597,1.0000,0.001478,1.0000,0.003747
13,0.001360,1.0000,0.001265,1.0000,0.002954
14,0.001170,1.0000,0.001093,1.0000,0.002597
15,0.001015,1.0000,0.000952,1.0000,0.002028
16,0.000885,1.0000,0.000832,1.0000,0.001672
17,0.000777,1.0000,0.000733,1.0000,0.001627
18,0.000685,1.0000,0.000649,1.0000,0.001301
19,0.000609,1.0000,0.000577,1.0000,0.001100
20,0.000544,1.0000,0.000517,1.0000,0.001097
21,0.000488,1.0000,0.000466,1.0000,0.000984
22,0.000439,1.0000,0.000420,1.0000,0.000832
23,0.000397,1.0000,0.000379,1.0000,0.000779
24,0.000359,1.0000,0.000344,1.0000,0.000668
25,0.000327,1.0000,0.000313,1.0000,0.000634
26,0.000297,1.0000,0.000286,1.0000,0.000549
27,0.000271,1.0000,0.000262,1.0000,0.000493
28,0.000248,1.0000,0.000239,1.0000,0.000430
29,0.000228,1.0000,0.000219,1.0000,0.000433
