epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,2.065745,0.1519,2.005386,0.1924,0.577419
1,1.986974,0.1865,1.995473,0.1602,0.421498
2,1.990081,0.1750,1.988551,0.1743,0.300020
3,1.987826,0.1720,1.993693,0.1812,0.245361
4,1.987860,0.1801,1.994031,0.1562,0.202146
5,1.986133,0.1736,1.985285,0.1831,0.176830
6,1.988394,0.1822,1.994515,0.1758,0.174222
7,1.992386,0.1764,2.007061,0.1709,0.225595
8,1.990519,0.1807,1.997458,0.1675,0.153822
9,1.988488,0.1772,1.997277,0.1729,0.153911
10,1.987967,0.1831,1.999693,0.1680,0.169444
11,1.984634,0.1796,1.999085,0.1631,0.152120
12,1.699151,0.2720,1.193046,0.4521,5.569744
13,0.879364,0.6289,0.689754,0.6680,20.069339
14,0.337902,0.9340,0.134941,0.9902,15.003379
15,0.217009,0.9397,0.062908,0.9976,23.187104
16,0.071321,0.9900,0.120559,0.9619,11.471061
17,0.055105,0.9899,0.027884,0.9971,12.010886
18,0.055466,0.9879,0.023111,0.9985,14.747016
19,0.021772,0.9976,0.033782,0.9932,3.362275
20,0.023901,0.9964,0.011386,0.9995,4.807238
21,0.038632,0.9919,0.008102,0.9995,10.075426
22,0.012152,0.9984,0.011955,0.9985,3.313960
23,0.065090,0.9819,0.008562,0.9995,25.804431
24,0.006609,0.9996,0.004663,1.0000,0.767932
25,0.004129,1.0000,0.003929,1.0000,0.014530
26,0.003598,1.0000,0.003384,1.0000,0.015668
27,0.003121,1.0000,0.002954,1.0000,0.011847
28,0.220628,0.9569,1.750655,0.7266,17.792617
29,0.147890,0.9610,0.051130,0.9873,28.918412
