epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,2.079782,0.1237,2.080025,0.1270,0.008552
1,2.079434,0.1295,2.080340,0.1343,0.007266
2,2.079129,0.1305,2.080190,0.1265,0.008110
3,2.079184,0.1303,2.080261,0.1201,0.007121
4,2.078933,0.1335,2.080356,0.1255,0.007932
5,2.079096,0.1289,2.080774,0.1313,0.007371
6,2.078874,0.1318,2.081176,0.1270,0.007230
7,2.078863,0.1304,2.080885,0.1201,0.009598
8,2.078720,0.1339,2.082117,0.1245,0.009566
9,2.078585,0.1355,2.081861,0.1196,0.012267
10,2.078370,0.1335,2.083099,0.1196,0.010324
11,2.078285,0.1336,2.082855,0.1172,0.013918
12,2.077895,0.1391,2.083217,0.1196,0.017433
13,2.077653,0.1358,2.083543,0.1196,0.019157
14,2.076870,0.1339,2.089103,0.1128,0.025506
15,2.076544,0.1345,2.083821,0.1172,0.027433
16,2.075558,0.1354,2.084486,0.1250,0.028351
17,2.075227,0.1409,2.082978,0.1240,0.035704
18,2.073874,0.1407,2.086369,0.1123,0.042609
19,2.073193,0.1469,2.085344,0.1221,0.049297
20,2.070651,0.1542,2.091336,0.1328,0.060281
21,2.069900,0.1460,2.090312,0.1235,0.071153
22,2.067522,0.1557,2.094663,0.1226,0.079979
23,2.065028,0.1606,2.098516,0.1123,0.088952
24,2.061581,0.1654,2.098230,0.1274,0.105374
25,2.057907,0.1680,2.103629,0.1201,0.128071
26,2.054846,0.1678,2.105711,0.1221,0.141722
27,2.049378,0.1767,2.111181,0.1260,0.147841
28,2.042966,0.1784,2.114077,0.1260,0.188806
29,2.035810,0.1832,2.122212,0.1201,0.204401
