epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,1.634247,0.3093,0.940313,0.7295,0.512165
1,0.404690,0.8932,0.211726,0.9229,1.501034
2,0.119759,0.9825,0.057609,0.9927,1.013031
3,0.037092,0.9956,0.020673,0.9995,0.712591
4,0.017616,0.9981,0.013986,1.0000,0.834137
5,0.012053,0.9990,0.012138,0.9980,0.345624
6,0.008023,0.9991,0.005730,0.9995,0.848018
7,0.005714,0.9995,0.003466,1.0000,0.508837
8,0.003099,1.0000,0.002697,1.0000,0.016402
9,0.002462,1.0000,0.002263,1.0000,0.006470
10,0.002029,1.0000,0.001874,1.0000,0.003947
11,0.001706,1.0000,0.001565,1.0000,0.002984
12,0.001453,1.0000,0.001345,1.0000,0.002356
13,0.001251,1.0000,0.001165,1.0000,0.001675
14,0.001089,1.0000,0.001017,1.0000,0.001602
15,0.000955,1.0000,0.000895,1.0000,0.001407
16,0.000843,1.0000,0.000798,1.0000,0.001143
17,0.000749,1.0000,0.000706,1.0000,0.001044
18,0.000669,1.0000,0.000632,1.0000,0.001076
19,0.000599,1.0000,0.000567,1.0000,0.000793
20,0.000539,1.0000,0.000512,1.0000,0.000676
21,0.000486,1.0000,0.000462,1.0000,0.000660
22,0.000440,1.0000,0.000420,1.0000,0.000578
23,0.000400,1.0000,0.000381,1.0000,0.000517
24,0.000364,1.0000,0.000347,1.0000,0.000466
25,0.000331,1.0000,0.000316,1.0000,0.000410
26,0.000302,1.0000,0.000290,1.0000,0.000401
27,0.000277,1.0000,0.000265,1.0000,0.000355
28,0.000253,1.0000,0.000243,1.0000,0.000324
29,0.000232,1.0000,0.000223,1.0000,0.000291
