epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,1.634103,0.2855,1.033765,0.5063,0.556886
1,0.675377,0.7127,0.313300,0.8872,1.383416
2,0.233761,0.9233,0.126559,0.9946,1.712636
3,0.064891,0.9932,0.055187,0.9893,0.767080
4,0.043804,0.9931,0.050856,0.9932,1.834839
5,0.022865,0.9978,0.009993,1.0000,0.476816
6,0.013340,0.9985,0.006869,1.0000,0.216031
7,0.012898,0.9982,0.008443,0.9995,0.660290
8,0.009499,0.9989,0.019604,0.9971,5.180159
9,0.016932,0.9972,0.006762,0.9995,2.052812
10,0.009462,0.9990,0.005009,0.9995,0.177147
11,0.003297,0.9999,0.002254,1.0000,0.002025
12,0.002839,0.9999,0.001871,1.0000,0.001365
13,0.002534,0.9999,0.001604,1.0000,0.002338
14,0.002306,0.9999,0.001397,1.0000,0.000896
15,0.002123,0.9999,0.001214,1.0000,0.000748
16,0.001982,0.9999,0.001083,1.0000,0.000656
17,0.001865,0.9999,0.000968,1.0000,0.000630
18,0.001767,0.9999,0.000872,1.0000,0.000574
19,0.001691,0.9999,0.000811,1.0000,0.001756
20,0.001624,0.9999,0.000736,1.0000,0.000727
21,0.001559,0.9999,0.000659,1.0000,0.000765
22,0.001509,0.9999,0.000582,1.0000,0.000542
23,0.001460,0.9999,0.000562,1.0000,0.000953
24,0.001424,0.9999,0.000524,1.0000,0.000873
25,0.030775,0.9929,0.401790,0.8477,5.704266
26,0.311442,0.9385,0.008779,1.0000,4.605211
27,0.005032,0.9998,0.002656,1.0000,0.015664
28,0.003750,0.9998,0.001955,1.0000,0.006129
29,0.002533,0.9999,0.001571,1.0000,0.013801
