epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,2.079666,0.1236,2.079189,0.1294,0.008378
1,2.079441,0.1301,2.079149,0.1172,0.007913
2,2.079131,0.1306,2.079272,0.1152,0.007489
3,2.079109,0.1273,2.079397,0.1255,0.008209
4,2.078995,0.1251,2.079515,0.1323,0.007002
5,2.078964,0.1289,2.079667,0.1172,0.008886
6,2.078858,0.1293,2.079694,0.1191,0.009530
7,2.078828,0.1275,2.079854,0.1211,0.011351
8,2.078563,0.1313,2.079987,0.1226,0.010365
9,2.078756,0.1304,2.080110,0.1167,0.016262
10,2.078251,0.1354,2.080845,0.1187,0.013876
11,2.078105,0.1301,2.079912,0.1260,0.015913
12,2.077829,0.1295,2.081255,0.1299,0.019173
13,2.077528,0.1320,2.079924,0.1328,0.021133
14,2.077183,0.1388,2.082701,0.1270,0.021715
15,2.076449,0.1358,2.083786,0.1157,0.027256
16,2.075517,0.1348,2.084656,0.1313,0.033410
17,2.074956,0.1360,2.084230,0.1299,0.040249
18,2.073380,0.1369,2.083999,0.1333,0.050217
19,2.072586,0.1429,2.086737,0.1318,0.051144
20,2.070711,0.1465,2.087906,0.1323,0.057002
21,2.068925,0.1444,2.088191,0.1299,0.068385
22,2.066582,0.1491,2.090169,0.1313,0.080253
23,2.063716,0.1516,2.103744,0.1279,0.086684
24,2.061089,0.1585,2.092165,0.1333,0.101417
25,2.055299,0.1633,2.100777,0.1367,0.124802
26,2.051537,0.1649,2.098835,0.1274,0.139179
27,2.047561,0.1709,2.106178,0.1265,0.148780
28,2.040774,0.1784,2.112712,0.1323,0.177418
29,2.035605,0.1837,2.127416,0.1226,0.205655
