epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,2.097018,0.1275,2.088081,0.1333,0.582929
1,2.084085,0.1300,2.093959,0.1245,0.529430
2,2.077961,0.1427,2.089786,0.1221,0.498236
3,2.072681,0.1526,2.094963,0.1294,0.476698
4,2.068576,0.1568,2.091488,0.1323,0.499891
5,2.062494,0.1631,2.097290,0.1196,0.491037
6,2.058016,0.1708,2.096422,0.1182,0.537091
7,2.052546,0.1760,2.102760,0.1235,0.575394
8,2.043523,0.1852,2.103822,0.1201,0.595744
9,2.036483,0.1904,2.107363,0.1177,0.663903
10,2.026269,0.1989,2.113740,0.1226,0.750165
11,2.014726,0.2114,2.118773,0.1309,0.821083
12,2.003305,0.2221,2.120790,0.1289,0.904776
13,1.993449,0.2236,2.131657,0.1113,1.019721
14,1.975294,0.2386,2.138832,0.1216,1.115729
15,1.959520,0.2515,2.150549,0.1187,1.265032
16,1.941749,0.2577,2.154393,0.1240,1.404393
17,1.925277,0.2734,2.166938,0.1240,1.571755
18,1.905308,0.2761,2.180060,0.1270,1.699081
19,1.889793,0.2874,2.197438,0.1128,1.865647
20,1.877668,0.2921,2.217833,0.1138,2.070499
21,1.845317,0.3090,2.223582,0.1279,2.209118
22,1.822333,0.3184,2.257947,0.1196,2.358777
23,1.800737,0.3324,2.260368,0.1206,2.600686
24,1.783721,0.3387,2.281865,0.1250,2.817259
25,1.762549,0.3549,2.305753,0.1191,3.001637
26,1.734076,0.3625,2.301432,0.1289,3.157652
27,1.713482,0.3718,2.344090,0.1138,3.431011
28,1.693047,0.3827,2.366151,0.1348,3.628632
29,1.669340,0.3872,2.378924,0.1250,3.807176
