epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,2.079818,0.1265,2.079790,0.1216,0.008045
1,2.079407,0.1231,2.080268,0.1167,0.007781
2,2.079092,0.1314,2.081224,0.1167,0.009612
3,2.079034,0.1305,2.081002,0.1143,0.011991
4,2.078570,0.1283,2.082470,0.1187,0.011158
5,2.078496,0.1286,2.080658,0.1201,0.018708
6,2.078469,0.1345,2.082926,0.1182,0.012490
7,2.078405,0.1315,2.081421,0.1226,0.019570
8,2.077857,0.1334,2.082398,0.1147,0.018285
9,2.077089,0.1353,2.084749,0.1147,0.021455
10,2.077823,0.1361,2.085058,0.1104,0.028242
11,2.076643,0.1390,2.083924,0.1177,0.026680
12,2.076227,0.1388,2.087275,0.1201,0.025241
13,2.076014,0.1407,2.087498,0.1196,0.029233
14,2.074903,0.1460,2.088970,0.1147,0.032802
15,2.074811,0.1384,2.086031,0.1172,0.036245
16,2.073677,0.1477,2.087077,0.1201,0.036382
17,2.072811,0.1459,2.087883,0.1235,0.040570
18,2.071951,0.1446,2.092649,0.1157,0.044768
19,2.070600,0.1537,2.092569,0.1196,0.048064
20,2.068385,0.1560,2.092466,0.1230,0.059241
21,2.066156,0.1556,2.098787,0.1177,0.064771
22,2.063434,0.1589,2.100784,0.1265,0.076300
23,2.059319,0.1680,2.099578,0.1235,0.090828
24,2.052707,0.1693,2.103739,0.1230,0.109928
25,2.046177,0.1810,2.111152,0.1318,0.137095
26,2.040105,0.1827,2.112844,0.1211,0.164137
27,2.028630,0.1880,2.119683,0.1206,0.194736
28,2.015886,0.2064,2.127925,0.1255,0.217669
29,2.005660,0.2019,2.135123,0.1250,0.270189
