epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,1.113606,0.6490,0.485118,0.8926,2.718194
1,0.300746,0.9579,0.145630,0.9976,5.115514
2,0.087902,0.9975,0.043787,0.9995,3.811219
3,0.028574,1.0000,0.019723,1.0000,0.213686
4,0.014874,1.0000,0.011736,1.0000,0.106956
5,0.009421,1.0000,0.007881,1.0000,0.062642
6,0.006603,1.0000,0.005731,1.0000,0.053007
7,0.004912,1.0000,0.004398,1.0000,0.037020
8,0.003807,1.0000,0.003437,1.0000,0.027105
9,0.003041,1.0000,0.002799,1.0000,0.021725
10,0.002486,1.0000,0.002287,1.0000,0.018219
11,0.002068,1.0000,0.001937,1.0000,0.014823
12,0.001745,1.0000,0.001632,1.0000,0.011992
13,0.001495,1.0000,0.001404,1.0000,0.010443
14,0.001289,1.0000,0.001220,1.0000,0.008326
15,0.001126,1.0000,0.001067,1.0000,0.008570
16,0.000987,1.0000,0.000940,1.0000,0.006422
17,0.000874,1.0000,0.000833,1.0000,0.006114
18,0.000775,1.0000,0.000744,1.0000,0.004508
19,0.000692,1.0000,0.000664,1.0000,0.003896
20,0.000621,1.0000,0.000597,1.0000,0.003814
21,0.000559,1.0000,0.000539,1.0000,0.003346
22,0.000505,1.0000,0.000488,1.0000,0.003022
23,0.000459,1.0000,0.000443,1.0000,0.002934
24,0.000417,1.0000,0.000403,1.0000,0.002540
25,0.000380,1.0000,0.000369,1.0000,0.002389
26,0.000347,1.0000,0.000336,1.0000,0.002074
27,0.000318,1.0000,0.000308,1.0000,0.002014
28,0.000291,1.0000,0.000283,1.0000,0.001710
29,0.000268,1.0000,0.000260,1.0000,0.001562
