epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,2.078455,0.1339,2.058541,0.1338,0.012872
1,1.252240,0.4234,0.748933,0.6372,0.752418
2,0.521644,0.7311,0.709383,0.6953,0.699130
3,0.449857,0.8100,0.700938,0.6187,3.302834
4,0.694341,0.6560,0.684138,0.6226,0.958880
5,0.610604,0.6631,0.563749,0.7334,0.619910
6,0.496559,0.7349,0.460840,0.7500,0.173447
7,0.494335,0.7500,1.276189,0.7358,0.603574
8,0.295173,0.8718,0.216866,0.8574,0.282425
9,0.128781,0.9755,0.059222,0.9980,0.408403
10,0.036973,0.9990,0.028438,0.9990,0.161923
11,0.020892,0.9994,0.018634,0.9995,0.032418
12,0.014984,0.9996,0.151656,0.9771,0.023657
13,0.030261,0.9956,0.013857,0.9990,0.135308
14,0.011675,0.9994,0.011937,0.9990,0.013739
15,0.008873,0.9995,0.010740,0.9990,0.003582
16,0.008334,0.9994,0.009888,0.9990,0.012286
17,0.006830,0.9996,0.009170,0.9990,0.002391
18,0.006174,0.9996,0.007430,0.9990,0.001367
19,0.005667,0.9996,0.006989,0.9990,0.001596
20,0.005264,0.9996,0.006234,0.9995,0.001906
21,0.042741,0.9919,0.251398,0.9380,1.573824
22,0.052043,0.9899,0.056894,0.9883,0.840212
23,0.009162,0.9989,0.006034,0.9995,0.047194
24,0.027420,0.9951,0.008067,0.9995,0.209361
25,0.004562,0.9998,0.005391,0.9995,0.021074
26,0.003100,0.9999,0.005027,0.9995,0.002207
27,0.002745,0.9999,0.004863,0.9995,0.001015
28,0.002516,0.9999,0.004752,0.9995,0.000731
29,0.002351,0.9999,0.004650,0.9995,0.000572
