epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,1.917943,0.1856,1.331757,0.4263,0.250344
1,0.871542,0.6076,0.534443,0.8848,1.178004
2,0.316632,0.8912,0.215051,0.9756,2.733939
3,0.138566,0.9801,0.044497,0.9956,0.760454
4,0.062940,0.9889,0.027361,0.9976,1.789401
5,0.038049,0.9935,0.055350,0.9863,0.271099
6,0.031524,0.9958,0.084057,0.9858,0.731611
7,0.039117,0.9932,0.017664,0.9980,0.140807
8,0.008169,0.9998,0.011193,0.9990,0.004816
9,0.006549,0.9996,0.023835,0.9966,0.048271
10,0.035713,0.9936,0.007840,0.9995,0.958978
11,0.005719,0.9998,0.006348,0.9995,0.006375
12,0.004770,0.9998,0.007132,0.9990,0.004995
13,0.004970,0.9996,0.005334,0.9995,0.003034
14,0.003868,0.9998,0.003023,0.9995,0.000936
15,0.003591,0.9998,0.001877,1.0000,0.000863
16,0.003370,0.9998,0.001651,1.0000,0.000967
17,0.076330,0.9854,0.017467,0.9990,2.813189
18,0.030393,0.9950,0.014544,0.9976,1.972101
19,0.030267,0.9944,0.004908,1.0000,2.434683
20,0.004597,0.9998,0.002877,1.0000,0.006387
21,0.003307,0.9999,0.002218,1.0000,0.002244
22,0.002812,0.9999,0.001822,1.0000,0.002113
23,0.002484,0.9999,0.001536,1.0000,0.005218
24,0.001410,1.0000,0.002996,0.9995,0.001096
25,0.214392,0.9194,0.011259,0.9995,0.400312
26,0.004978,0.9998,0.005226,0.9995,0.003466
27,0.002764,0.9999,0.004659,0.9995,0.001293
28,0.002271,0.9999,0.004437,0.9995,0.001105
29,0.074771,0.9885,0.017265,0.9980,3.810132
