epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,1.688688,0.2579,1.111967,0.3896,0.435678
1,0.716158,0.6917,0.541124,0.8057,2.420529
2,0.301667,0.8682,0.206832,0.8960,1.997842
3,0.171923,0.9623,0.082047,0.9941,1.057405
4,0.044875,0.9974,0.037077,0.9946,0.798487
5,0.021458,0.9982,0.016155,0.9990,0.593911
6,0.015736,0.9982,0.019720,0.9966,0.408093
7,0.017643,0.9981,0.046639,0.9927,12.054552
8,0.008523,0.9995,0.004533,1.0000,0.044131
9,0.004276,0.9998,0.003496,1.0000,0.056595
10,0.003129,1.0000,0.002762,1.0000,0.005007
11,0.006599,0.9982,0.013172,0.9985,0.921397
12,0.002441,0.9999,0.001957,1.0000,0.107382
13,0.002621,0.9999,0.001807,1.0000,0.322449
14,0.005023,0.9992,0.001517,1.0000,0.686353
15,0.001391,1.0000,0.001282,1.0000,0.001155
16,0.001189,1.0000,0.001110,1.0000,0.000919
17,0.001035,1.0000,0.000972,1.0000,0.000829
18,0.000910,1.0000,0.000858,1.0000,0.000711
19,0.000806,1.0000,0.000763,1.0000,0.000475
20,0.000718,1.0000,0.000682,1.0000,0.000483
21,0.000643,1.0000,0.000612,1.0000,0.000418
22,0.000578,1.0000,0.000551,1.0000,0.000293
23,0.000522,1.0000,0.000498,1.0000,0.000314
24,0.000472,1.0000,0.000452,1.0000,0.000217
25,0.000429,1.0000,0.000411,1.0000,0.000266
26,0.012055,0.9979,0.000764,1.0000,0.683730
27,0.021806,0.9968,0.125241,0.9824,0.864856
28,0.014183,0.9978,0.005066,0.9990,1.246677
29,0.024482,0.9961,0.004499,0.9995,0.758516
