epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,2.080298,0.1247,2.080852,0.1284,0.028648
1,2.079677,0.1309,2.080570,0.1235,0.024599
2,2.079526,0.1293,2.080393,0.1250,0.023702
3,2.079217,0.1335,2.081478,0.1250,0.022079
4,2.079125,0.1375,2.080778,0.1235,0.020859
5,2.079180,0.1324,2.080777,0.1191,0.024908
6,2.079204,0.1279,2.080906,0.1187,0.022312
7,2.078650,0.1328,2.080331,0.1226,0.021582
8,2.078732,0.1318,2.081187,0.1196,0.033164
9,2.078393,0.1338,2.082159,0.1196,0.030382
10,2.077923,0.1338,2.081497,0.1201,0.038258
11,2.077865,0.1319,2.081901,0.1196,0.039240
12,2.077175,0.1324,2.083720,0.1206,0.038365
13,2.076834,0.1388,2.083008,0.1167,0.047544
14,2.076117,0.1356,2.084118,0.1226,0.047972
15,2.075770,0.1394,2.084762,0.1299,0.053415
16,2.074268,0.1437,2.086243,0.1309,0.058685
17,2.072607,0.1450,2.087051,0.1333,0.068594
18,2.071236,0.1426,2.088460,0.1235,0.068096
19,2.068924,0.1475,2.090369,0.1270,0.086487
20,2.065972,0.1514,2.093465,0.1382,0.097324
21,2.061859,0.1609,2.100257,0.1191,0.109190
22,2.056020,0.1686,2.111449,0.1299,0.127423
23,2.050891,0.1688,2.110970,0.1255,0.152667
24,2.044089,0.1781,2.112120,0.1338,0.179040
25,2.033313,0.1904,2.132333,0.1235,0.205525
26,2.023938,0.1951,2.144604,0.1177,0.247232
27,2.010249,0.1989,2.151151,0.1265,0.291121
28,1.996772,0.2141,2.162678,0.1182,0.335097
29,1.980614,0.2226,2.179046,0.1250,0.391267
