epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,2.079805,0.1246,2.082654,0.1147,0.032670
1,2.078730,0.1343,2.082508,0.1201,0.032060
2,2.078502,0.1315,2.082608,0.1182,0.030887
3,2.078165,0.1346,2.083900,0.1191,0.031792
4,2.077898,0.1306,2.084783,0.1230,0.027923
5,2.077979,0.1308,2.083683,0.1187,0.030212
6,2.077693,0.1284,2.084668,0.1201,0.029335
7,2.077533,0.1330,2.083162,0.1191,0.031067
8,2.077641,0.1335,2.084240,0.1133,0.023242
9,2.077743,0.1326,2.084343,0.1138,0.029025
10,2.077099,0.1361,2.084286,0.1172,0.026932
11,2.077019,0.1350,2.084761,0.1187,0.030489
12,2.076723,0.1343,2.085968,0.1172,0.029158
13,2.076695,0.1344,2.083538,0.1108,0.033589
14,2.076221,0.1404,2.084715,0.1157,0.032540
15,2.075615,0.1383,2.084616,0.1196,0.038337
16,2.074931,0.1464,2.087151,0.1162,0.042529
17,2.074044,0.1445,2.086201,0.1196,0.041975
18,2.073718,0.1489,2.084912,0.1294,0.049976
19,2.072472,0.1492,2.083190,0.1250,0.057612
20,2.070762,0.1490,2.086514,0.1260,0.058930
21,2.067598,0.1565,2.087773,0.1230,0.074921
22,2.063970,0.1590,2.095004,0.1255,0.096022
23,2.060640,0.1580,2.098446,0.1250,0.107596
24,2.055853,0.1658,2.106145,0.1201,0.125247
25,2.048649,0.1740,2.111043,0.1265,0.149291
26,2.041397,0.1862,2.118177,0.1201,0.177582
27,2.032255,0.1832,2.127311,0.1270,0.205594
28,2.022752,0.1943,2.138511,0.1265,0.233240
29,2.008979,0.2037,2.144381,0.1216,0.286573
