epoch,train_loss,train_acc,val_loss,val_acc,grad_norm
0,2.080378,0.1273,2.079823,0.1216,0.033615
1,2.079502,0.1274,2.080625,0.1279,0.029229
2,2.079099,0.1289,2.080750,0.1235,0.028589
3,2.078968,0.1336,2.080343,0.1221,0.029622
4,2.078927,0.1328,2.081610,0.1187,0.027700
5,2.078977,0.1324,2.081606,0.1143,0.029167
6,2.078867,0.1289,2.081358,0.1157,0.027962
7,2.078606,0.1316,2.082057,0.1152,0.030284
8,2.078519,0.1319,2.082291,0.1226,0.030874
9,2.078116,0.1333,2.083409,0.1191,0.030335
10,2.078161,0.1314,2.081195,0.1162,0.036669
11,2.077728,0.1389,2.084673,0.1167,0.030720
12,2.077078,0.1410,2.083783,0.1182,0.044744
13,2.076707,0.1411,2.087196,0.1157,0.039106
14,2.075984,0.1380,2.089434,0.1113,0.046585
15,2.075779,0.1379,2.090380,0.1201,0.052138
16,2.073844,0.1467,2.091455,0.1123,0.054812
17,2.072854,0.1462,2.090025,0.1177,0.062089
18,2.070182,0.1502,2.093517,0.1221,0.069146
19,2.068086,0.1512,2.093014,0.1177,0.080021
20,2.064589,0.1619,2.094737,0.1265,0.097036
21,2.058297,0.1675,2.106613,0.1167,0.109562
22,2.052844,0.1711,2.103621,0.1318,0.135033
23,2.045163,0.1786,2.117018,0.1201,0.156645
24,2.035315,0.1835,2.120034,0.1206,0.190056
25,2.022472,0.1968,2.125921,0.1211,0.215896
26,2.008044,0.2084,2.133525,0.1260,0.269200
27,1.990036,0.2223,2.149907,0.1304,0.315120
28,1.971757,0.2310,2.154675,0.1279,0.374398
29,1.945216,0.2519,2.174740,0.1270,0.437563
